city,geography_code,geography_name,industry_name,number_of_jobs,median_income_dollars
Adelaide,40202,Playford,other_services,2461,26444
Adelaide,40202,Playford,professional,2835,38421
Adelaide,40202,Playford,public_administration_safety,4385,65694
Adelaide,40202,Playford,rental,1170,31533
Adelaide,40202,Playford,retail_trade,8800,21483
Adelaide,40202,Playford,total,74055,29294
Adelaide,40202,Playford,transport,3608,44766
Adelaide,40202,Playford,wholesale_trade,3324,48423
Adelaide,40203,Port Adelaide - East,accommodation_food_services,6069,8988
Adelaide,40203,Port Adelaide - East,administrative_support_services,8492,10768
Adelaide,40203,Port Adelaide - East,agriculture,491,14438
Adelaide,40203,Port Adelaide - East,arts_recreation_services,1047,9000
Adelaide,40203,Port Adelaide - East,construction,2783,42741
Adelaide,40203,Port Adelaide - East,education_training,4555,38820
Adelaide,40203,Port Adelaide - East,electricity,483,75712
Adelaide,40203,Port Adelaide - East,finance_insurance_services,2426,39146
Adelaide,40203,Port Adelaide - East,health_care_social_assistance,12901,34114
Adelaide,40203,Port Adelaide - East,information_media_telecommunications,748,43846
Adelaide,40203,Port Adelaide - East,manufacturing,3970,46444
Adelaide,40203,Port Adelaide - East,mining,337,103001
Adelaide,40203,Port Adelaide - East,other_services,2144,23317
Adelaide,40203,Port Adelaide - East,professional,4680,52074
Adelaide,40203,Port Adelaide - East,public_administration_safety,4212,61392
Adelaide,40203,Port Adelaide - East,rental,1060,31120
Adelaide,40203,Port Adelaide - East,retail_trade,6725,18540
Adelaide,40203,Port Adelaide - East,total,67689,27554
Adelaide,40203,Port Adelaide - East,transport,1789,45904
Adelaide,40203,Port Adelaide - East,wholesale_trade,2124,46522
Adelaide,40204,Salisbury,accommodation_food_services,8297,8090
Adelaide,40204,Salisbury,administrative_support_services,13800,12832
Adelaide,40204,Salisbury,agriculture,1228,19503
Adelaide,40204,Salisbury,arts_recreation_services,1446,9421
Adelaide,40204,Salisbury,construction,6104,44980
Adelaide,40204,Salisbury,education_training,6027,37013
Adelaide,40204,Salisbury,electricity,1014,71008
Adelaide,40204,Salisbury,finance_insurance_services,3594,34615
Adelaide,40204,Salisbury,health_care_social_assistance,18514,32605
Adelaide,40204,Salisbury,information_media_telecommunications,926,41151
Adelaide,40204,Salisbury,manufacturing,9773,51056
Adelaide,40204,Salisbury,mining,495,89537
Adelaide,40204,Salisbury,other_services,4080,25051
Adelaide,40204,Salisbury,professional,5351,42011
Adelaide,40204,Salisbury,public_administration_safety,6435,62647
Adelaide,40204,Salisbury,rental,1785,27702
Adelaide,40204,Salisbury,retail_trade,11925,20462
Adelaide,40204,Salisbury,total,111378,28835
Adelaide,40204,Salisbury,transport,4780,46842
Adelaide,40204,Salisbury,wholesale_trade,4747,48895
Adelaide,40205,Tea Tree Gully,accommodation_food_services,4785,8185
Adelaide,40205,Tea Tree Gully,administrative_support_services,6176,14592
Adelaide,40205,Tea Tree Gully,agriculture,323,14406
Adelaide,40205,Tea Tree Gully,arts_recreation_services,1244,8056
Adelaide,40205,Tea Tree Gully,construction,4733,53397
Adelaide,40205,Tea Tree Gully,education_training,7213,44075
Adelaide,40205,Tea Tree Gully,electricity,639,90789
Adelaide,40205,Tea Tree Gully,finance_insurance_services,2912,45752
Adelaide,40205,Tea Tree Gully,health_care_social_assistance,12443,38451
Adelaide,40205,Tea Tree Gully,information_media_telecommunications,846,50312
Adelaide,40205,Tea Tree Gully,manufacturing,4686,56445
Adelaide,40205,Tea Tree Gully,mining,514,108184
Adelaide,40205,Tea Tree Gully,other_services,2626,27507
Adelaide,40205,Tea Tree Gully,professional,4910,54451
Adelaide,40205,Tea Tree Gully,public_administration_safety,5857,70280
